vsearch v2.22.1_linux_x86_64, 503.7GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Wed Apr 16 12:49:55 2025

Read length distribution
      L           N      Pct   AccPct
   20   100.0%  39.7  0.00011  0.000491   0.02   0.000832    0.083%
   21   100.0%  39.6  0.00011  0.000593   0.02   0.000821    0.082%
   22   100.0%  39.6  0.00011  0.000393   0.02   0.000802    0.080%
   23   100.0%  39.6  0.00011  0.000573   0.02   0.000792    0.079%
   24   100.0%  39.7  0.00011  0.000348   0.02   0.000773    0.077%
   25   100.0%  39.7  0.00011  0.000419   0.02   0.000759    0.076%
   26   100.0%  39.5  0.00011  0.000575   0.02   0.000752    0.075%
   27   100.0%  39.5  0.00011  0.000540   0.02   0.000744    0.074%
   28   100.0%  39.6  0.00011  0.000391   0.02   0.000731    0.073%
   29    99.9%  39.1  0.00012  0.000741   0.02   0.000732    0.073%
   30    99.9%  39.8  0.00011  0.000293   0.02   0.000717    0.072%
   31    99.8%  39.6  0.00011  0.000473   0.02   0.000709    0.071%
   32    99.7%  39.4  0.00012  0.000754   0.02   0.000711    0.071%
   33    99.7%  38.6  0.00014  0.001142   0.02   0.000724    0.072%
   34    99.7%  39.6  0.00011  0.000432   0.02   0.000716    0.072%
   35    99.6%  39.6  0.00011  0.000418   0.02   0.000707    0.071%
   36    99.6%  39.5  0.00011  0.000574   0.03   0.000703    0.070%
   37    99.6%  39.6  0.00011  0.000446   0.03   0.000697    0.070%
   38    99.6%  39.4  0.00011  0.000456   0.03   0.000690    0.069%
   39    99.6%  39.1  0.00012  0.000785   0.03   0.000693    0.069%
   40    99.6%  39.4  0.00011  0.000646   0.03   0.000692    0.069%
   41    99.6%  39.6  0.00011  0.000410   0.03   0.000685    0.068%
   42    99.6%  39.5  0.00011  0.000630   0.03   0.000683    0.068%
   43    99.6%  38.7  0.00014  0.000985   0.03   0.000690    0.069%
   44    99.6%  38.9  0.00013  0.001094   0.03   0.000700    0.070%
   45    99.6%  39.1  0.00012  0.001199   0.03   0.000711    0.071%
   46    99.6%  39.5  0.00011  0.000568   0.03   0.000708    0.071%
   47    99.6%  39.1  0.00012  0.001213   0.03   0.000718    0.072%
   48    99.6%  39.7  0.00011  0.000363   0.03   0.000711    0.071%
   49    99.6%  39.2  0.00012  0.001093   0.04   0.000719    0.072%
   50    99.6%  39.2  0.00012  0.000891   0.04   0.000722    0.072%
   51    99.6%  39.4  0.00011  0.000763   0.04   0.000723    0.072%
   52    99.6%  39.1  0.00012  0.005834   0.04   0.000821    0.082%
   53    99.6%  39.1  0.00012  0.006039   0.05   0.000920    0.092%
   54    99.6%  39.2  0.00012  0.006052   0.05   0.001015    0.101%
   55    99.6%  39.3  0.00012  0.007548   0.06   0.001134    0.113%
   56    99.6%  39.2  0.00012  0.004654   0.07   0.001196    0.120%
   57    99.6%  39.2  0.00012  0.006956   0.07   0.001297    0.130%
   58    99.6%  39.4  0.00011  0.001150   0.08   0.001295    0.129%
   59    99.6%  39.5  0.00011  0.000609   0.08   0.001283    0.128%
   60    99.6%  39.5  0.00011  0.000543   0.08   0.001271    0.127%
   61    99.6%  39.6  0.00011  0.000398   0.08   0.001257    0.126%
   62    99.6%  39.1  0.00012  0.000814   0.08   0.001250    0.125%
   63    99.6%  39.5  0.00011  0.000520   0.08   0.001238    0.124%
   64    99.6%  39.7  0.00011  0.000418   0.08   0.001225    0.123%
   65    99.6%  38.6  0.00014  0.001367   0.08   0.001227    0.123%
   66    99.6%  39.6  0.00011  0.000501   0.08   0.001216    0.122%
   67    99.6%  39.6  0.00011  0.000418   0.08   0.001204    0.120%
   68    99.6%  39.6  0.00011  0.000492   0.08   0.001194    0.119%
   69    99.6%  39.7  0.00011  0.000343   0.08   0.001182    0.118%
   70    99.6%  39.8  0.00011  0.000295   0.08   0.001169    0.117%
   71    99.6%  39.6  0.00011  0.000468   0.08   0.001159    0.116%
   72    99.6%  39.7  0.00011  0.000329   0.08   0.001148    0.115%
   73    99.6%  39.4  0.00012  0.000771   0.08   0.001142    0.114%
