OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_23919	Fungi_1	Ascomycota_1	Geoglossomycetes_1	Geoglossales_1	Geoglossaceae_1	Geoglossum_1			0	0
FOTU_23920	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1				0	0
FOTU_23921									0	0
FOTU_23922									0	0
FOTU_23923									0	0
FOTU_23924									0	0
FOTU_23925									0	0
FOTU_23926									0	0
FOTU_23927									0	0
FOTU_23928	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1					0	0
FOTU_23929									0	0
FOTU_23930	Rhizaria_1	Cercozoa_1							0	0
FOTU_23931									0	0
FOTU_23932	Fungi_1								0	0
FOTU_23933									0	0
FOTU_23934									0	0
FOTU_23935	Fungi_1	Ascomycota_1	Orbiliomycetes_1	Orbiliales_1	Orbiliaceae_1	Arthrobotrys_1	Arthrobotrys amerosporus 		0	0
FOTU_23936	Fungi_1	Ascomycota_1	Sordariomycetes_1	Microascales_1	Microascaceae_1	Cephalotrichum_1			0	0
FOTU_23937	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Chaetomiaceae_1	Humicola_1	Humicola nigrescens 	Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	84.434	100
FOTU_23938	Fungi_1								0	0
FOTU_23939									0	0
FOTU_23940									0	0
FOTU_23941									0	0
FOTU_23942									0	0
FOTU_23943									0	0
FOTU_23944									0	0
FOTU_23945	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Chaetomiaceae_1	Dichotomopilus_1			0	0
FOTU_23946									0	0
